,count,unique,top,freq,mean,std,min,25%,50%,75%,max
SecondMinorLocation.2.0Frequency,2723.0,,,,0.17006316562614762,0.17954044030370925,0.0,0.0,0.155,0.426,0.426
Movement.2.0Frequency,2723.0,,,,0.2944080058758722,0.15972172911491783,0.004,0.153,0.233,0.457,0.457
SelectedFingers.2.0Frequency,2723.0,,,,0.2956874770473742,0.15457526961357204,0.0,0.14,0.261,0.449,0.449
Flexion.2.0Frequency,2723.0,,,,0.24446015424164524,0.1440026640024408,0.0,0.162,0.225,0.409,0.409
FlexionChange.2.0Frequency,2723.0,,,,0.6244241645244217,0.2833349748414342,0.0,0.209,0.791,0.791,0.791
RepeatedMovement.2.0Frequency,2723.0,,,,0.5058501652589057,0.05369203166486049,0.446,0.446,0.554,0.554,0.554
Contact.2.0Frequency,2723.0,,,,0.5297943444730077,0.11832767619641206,0.378,0.378,0.622,0.622,0.622
Spread.2.0Frequency,2723.0,,,,0.26653470437017995,0.2700945581492176,0.0,0.0,0.398,0.602,0.602
SpreadChange.2.0Frequency,2723.0,,,,0.4572038193169299,0.43114594065766615,0.0,0.0,0.878,0.878,0.878
ThumbContact.2.0Frequency,2723.0,,,,0.5350760190965848,0.21219105671449295,0.0,0.316,0.684,0.684,0.684
ThumbPosition.2.0Frequency,2723.0,,,,0.5494120455380095,0.1490490129468687,0.343,0.343,0.657,0.657,0.657
UlnarRotation.2.0Frequency,2723.0,,,,0.7254395886889461,0.24919028078330493,0.164,0.836,0.836,0.836,0.836
Neighborhood Density 2.0,2723.0,,,,4.997796547925082,7.431785963556434,0.0,1.0,3.0,7.0,50.0
Parameter.Neighborhood.Density.2.0,2723.0,,,,273.5387440323173,149.47648376931542,1.0,143.0,267.0,384.5,563.0
PhonotacticProbability,2723.0,,,,-1.0282776349612448e-05,0.34550526828964695,-1.269,-0.2175,-0.009,0.235,0.906
Phonological Complexity,2697.0,,,,1.9325176121616612,1.014676828990317,0.0,1.0,2.0,2.0,6.0
SignBankAnnotationID,2003,1864,SHOUT,4,,,,,,,
SignBankEnglishTranslations,1984,1803,"cry out, shout, scream, yell",4,,,,,,,
SignBankLemmaID,1989,1784,DOG,4,,,,,,,
SignBankSemanticField,877,12,Event,412,,,,,,,
SignBankReferenceID,1989.0,,,,1352.686274509804,923.6644941232017,0.0,578.0,1180.0,2038.0,3370.0
InCDI,2723,2,No,2187,,,,,,,
CDISemanticCategory,568,21,Action Signs,128,,,,,,,
bglm_aoa,533.0,,,,34.75609756097561,8.67763228280484,14.0,28.0,33.0,40.0,67.0
empirical_aoa,533.0,,,,25.5046904315197,7.261656208526353,9.0,19.0,28.0,28.0,60.0
